distname,fid_hex,area_sqkm
Fatehpur,"384","264"
Banda,"385","425"
Fatehpur,"385","13"
Banda,"386","439"
Banda,"387","437"
Banda,"388","192"
Sitapur,"389","410"
Hardoi,"389","15"
Sitapur,"390","111"
Hardoi,"390","315"
Lucknow,"391","32"
Hardoi,"391","336"
Unnao,"391","60"
Lucknow,"392","7"
Hardoi,"392","1"
Unnao,"392","421"
Unnao,"393","431"
Unnao,"394","389"
Kanpur Nagar,"394","43"
Unnao,"395","106"
Fatehpur,"395","86"
Kanpur Nagar,"395","241"
Fatehpur,"396","435"
Chitrakoot,"397","234"
Bara Banki,"398","8"
Lucknow,"398","206"
Unnao,"398","3"
Rae Bareli,"398","215"
Unnao,"399","33"
Rae Bareli,"399","400"
Rae Bareli,"400","434"
Fatehpur,"401","287"
Rae Bareli,"401","149"
Kaushambi,"402","2"
Fatehpur,"402","435"
Chitrakoot,"403","128"
Banda,"403","38"
Fatehpur,"403","273"
Chitrakoot,"404","412"
Kaushambi,"404","28"
Chitrakoot,"405","442"
Bahraich,"406","134"
Kheri,"406","285"
Bahraich,"407","1"
Kheri,"407","420"
Sitapur,"408","319"
Kheri,"408","104"
Sitapur,"409","424"
Sitapur,"410","414"
Bara Banki,"410","12"
Sitapur,"411","17"
Bara Banki,"411","389"
Lucknow,"411","21"
Bara Banki,"412","326"
Lucknow,"412","102"
Bara Banki,"413","59"
Lucknow,"413","371"
Bahraich,"414","217"
Kheri,"414","80"
Unnao,"415","101"
Rae Bareli,"415","333"
Fatehpur,"416","224"
Rae Bareli,"416","211"
Fatehpur,"417","437"
Banda,"418","270"
Fatehpur,"418","168"
Chitrakoot,"419","179"
Banda,"419","260"
Chitrakoot,"420","409"
Banda,"420","4"
Chitrakoot,"421","332"
Chitrakoot,"422","6"
Sitapur,"423","179"
Kheri,"423","242"
Sitapur,"424","423"
Sitapur,"425","425"
Sitapur,"426","379"
Bara Banki,"426","46"
Lucknow,"426","0"
Sitapur,"427","28"
Bara Banki,"427","32"
Lucknow,"427","365"
Hardoi,"427","2"
Lucknow,"428","429"
Lucknow,"429","328"
Unnao,"429","103"
Lucknow,"430","0"
Unnao,"430","402"
Rae Bareli,"430","30"
Chitrakoot,"431","52"
Allahabad,"431","22"
Kaushambi,"431","366"
Chitrakoot,"432","198"
Allahabad,"432","35"
Gonda,"433","6"
Bara Banki,"433","423"
Bara Banki,"434","393"
Faizabad,"434","37"
Amethi,"434","0"
Bara Banki,"435","174"
Faizabad,"435","2"
Amethi,"435","255"
Rae Bareli,"436","37"
Amethi,"436","396"
Pratapgarh,"437","36"
Rae Bareli,"437","322"
Amethi,"437","77"
Pratapgarh,"438","218"
Rae Bareli,"438","218"
Kaushambi,"439","23"
Pratapgarh,"439","414"
Kaushambi,"440","388"
Pratapgarh,"440","51"
Bahraich,"441","111"
Bahraich,"442","420"
Bahraich,"443","422"
Bahraich,"444","424"
Bahraich,"445","373"
Sitapur,"445","24"
Bara Banki,"445","29"
Gonda,"446","31"
Bahraich,"446","259"
Bara Banki,"446","136"
Chitrakoot,"447","104"
Bara Banki,"448","402"
Lucknow,"448","8"
Rae Bareli,"448","20"
Amethi,"448","1"
Bara Banki,"449","6"
Rae Bareli,"449","388"
Amethi,"449","38"
Rae Bareli,"450","403"
Amethi,"450","30"
Rae Bareli,"451","435"
Kaushambi,"452","37"
Fatehpur,"452","148"
Pratapgarh,"452","73"
Rae Bareli,"452","178"
Kaushambi,"453","374"
Fatehpur,"453","57"
Pratapgarh,"453","7"
Chitrakoot,"454","12"
Kaushambi,"454","381"
Fatehpur,"454","46"
Chitrakoot,"455","413"
Kaushambi,"455","9"
Bahraich,"456","154"
Bahraich,"457","404"
Kheri,"457","10"
Bahraich,"458","227"
Sitapur,"458","0"
Kheri,"458","195"
Bahraich,"459","185"
Sitapur,"459","193"
Kheri,"459","44"
Bahraich,"460","108"
Sitapur,"460","317"
Bara Banki,"460","0"
Sitapur,"461","119"
Bara Banki,"461","307"
Bara Banki,"462","428"
Bara Banki,"463","429"
Lucknow,"463","0"
Mainpuri,"464","160"
Kanshiram Nagar,"464","1"
Etah,"464","264"
Mainpuri,"465","426"
Mainpuri,"466","378"
Etawah,"466","50"
Etawah,"467","429"
Etawah,"468","218"
Etawah,"469","17"
Jalaun,"470","57"
Jhansi,"471","0"
Jalaun,"471","211"
Rampur,"472","206"
Moradabad,"472","198"
Rampur,"473","183"
Moradabad,"473","231"
Rampur,"474","331"
Moradabad,"474","73"
Sambhal,"474","11"
Rampur,"475","157"
Bareilly,"475","52"
Sambhal,"475","40"
Budaun,"475","167"
Budaun,"476","418"
Budaun,"477","420"
Kanshiram Nagar,"478","243"
Budaun,"478","179"
Kanshiram Nagar,"479","373"
Etah,"479","50"
Lalitpur,"480","21"
Bijnor,"481","50"
Rampur,"482","2"
Moradabad,"482","48"
Jhansi,"483","143"
Jhansi,"484","328"
Jhansi,"485","149"
Jhansi,"486","1"
Lalitpur,"487","50"
Lalitpur,"488","226"
Lalitpur,"489","414"
Lalitpur,"490","433"
Mainpuri,"491","161"
Firozabad,"491","87"
Etah,"491","177"
Mainpuri,"492","187"
Firozabad,"492","240"
Mainpuri,"493","51"
Firozabad,"493","198"
Etawah,"493","124"
Agra,"493","56"
Etawah,"494","74"
Agra,"494","125"
Moradabad,"495","413"
Rampur,"496","11"
Moradabad,"496","392"
